gene_name	HG002	HG003	HG004	HG005	HG01106	HG01258	HG01928	HG02055	HG02630	HG03492	HG03579	NA19240	NA20129	NA21309	NA24694	NA24695	IHW09021	IHW09049	IHW09071	IHW09117	IHW09118	IHW09122	IHW09125	IHW09175	IHW09198	IHW09200	IHW09224	IHW09245	IHW09251	IHW09359	IHW09364	IHW09409
TSBP1	355.43	261.71	120.85	129.14	243.04	225	191.27	186.06	141.64	192.96	54.74	114.22	288.58	210.06	213.61	111.86	145.48	355.29	99.72	434.66	86.11	534.3	356.18	144.18	212.9	305.59	381.14	54.32	193.74	446.14	59.52	229.7
BTNL2	432.46	317.87	150.8	163.76	279.6	285.21	236.54	219.92	158.72	237.59	72.32	143.77	358.15	267.43	256.84	146.14	196.53	446.62	147.06	574.81	123.78	653.94	472.25	212.65	294.33	395.43	494.37	68.82	224.65	570.56	77.8	326.18
HLA-DRB5	857.19	838.64	326.37	546.73	658.16	626.91	808.98	435.96	650.1	669.85	222.47	440.69	714.93	811.79	881.06	542.71	600.44	1337.56	278.32	1293.85	367.35	2007.93	1085.24	870.77	848.69	786.8	1588.43	171.77	668.27	1553.33	391.64	821
HLA-DRB1	1225.47	897.07	475.51	489.02	1314.33	1108.44	674.31	888.56	503.24	1000.06	448.85	601.46	1497.6	1102.27	783.07	440.21	1257.23	1457.2	464.95	1812.19	626.78	2711.31	2262.33	784.91	1682.25	1587.67	1589.6	353.8	1375.45	1732.8	300.35	1134.63
HLA-DQA1	653.65	448.09	266.47	268.19	444.01	470.4	359.84	365.2	321.57	375.53	123.7	228.57	510.49	434.66	424.54	236.85	361.1	718.42	267.67	948.9	180.07	1164.27	853.73	378.68	617.57	677.66	848.03	155.4	432.84	918.93	140.6	566.96
HLA-DQB1	1170.15	908.22	437.97	386.64	801.38	932.25	522.21	530.42	610	768.03	228.79	401.55	987.46	830.18	686.99	365.11	907.45	1704.79	564.56	2071.09	479.89	2330.19	1847.25	1055.14	1397.46	1631.16	1614.72	385.78	1180.13	2010.38	342.13	1312.65
HLA-DQA2	964.95	719.13	356.67	369.93	709.95	686.01	586.31	535.95	389.31	524.72	180.08	347.67	784.84	577.06	598.62	335.74	501.8	1002.2	305.38	1350.83	254.2	1490.95	1062.05	506.92	671.46	841.78	1091.29	155.17	630.18	1334.94	215.05	790.49
HLA-DQB2	831.2	629.26	330.29	315.24	578.66	595.72	528.41	499.58	341.13	487.67	149.54	301.52	676.7	529.59	573.7	304.37	513.19	864.04	257.58	1167.14	224.51	1360.35	995.34	471.3	610.34	793.37	1001.61	140.81	516.56	1253.52	154.53	674.59
HLA-DPA1	1367.75	1025.11	556.47	580.78	949.88	998.67	793.51	793.71	671.31	770.75	301.59	451.56	1110.04	883.02	935.13	535.11	819.65	1542.64	563.39	1865.74	422.36	2241.57	1584.31	799.03	1149.99	1330.2	1523.07	293.03	923.02	1961.15	347.33	1196.46
HLA-DPB1	969.19	752.35	406.8	404.36	703.32	708.24	608.54	588.16	438.88	566.42	197.03	311.17	786.96	635.15	659.75	386.08	564.36	1041.46	406.93	1434.18	284.51	1616.18	1094.66	621.35	798.35	1008.29	1087.91	226.88	658.85	1469.72	233.11	839.03
